N;ALTITUD;CIUDAD;DEPARTAMENTO;DISTRITO;LATITUD;LONGITUD;N_ESTACION;N_ZONA;PROVINCIA;RANGO;ZONA_CLIMÁTICA
219;188;Pampa Hermosa;Loreto;Pampa Hermosa;-07° 11';-75° 20';387;9;Ucayali;400 - 1000;Tropical Húmedo
220;2863;Urubamba;Cusco;Urubamba;-13° 19';-72° 7';683;4;Urubamba;3000 - 4000;Mesoandino
221;1620;Jamalca;Amazonas;Jamalca;-05° 54';-78° 13';375;7;Utcubamba (7 Ceja de Montaña);2000 - 3000;Ceja de Montaña
222;446;Bagua Grande;Amazonas;Bagua Grande;-05° 45';-78° 26';253;9;Utcubamba (9 Tropical Humedo);400 - 1000;Tropical Húmedo
223;3102;Huancapi;Ayacucho;Huancapi;-13° 45';-74° 04';757;5;Víctor Fajardo;4000 - 4800;Alto Andino
224;3482;Vilcas Huaman;Ayacucho;Vilcas Huaman;-13° 39';-73° 57';745;4;Vilcashuamán (4 Mesoandino);3000 - 4000;Mesoandino
225;63;ciudad;La Libertad;Sayapullo;-08° 55';-78° 73';230;2;Virú;400 - 2000;Desértico 
226;3761;San Cristobal de Jacas Chico;Huánuco;Jacas Chico;-09° 53';-76° 30';552;4;Yarowilca (4 Mesoandino);3000 - 4000;Mesoandino
227;3725;San Pedro de Cajas;Junin;San Pedro de Cajas;-11° 32';-75° 54';759;4;Yauli;3000 - 4000;Mesoandino
228;2327;Yauyos;Lima;Yauyos;-12° 30';-75° 55';636;4;Yauyos;3000 - 4000;Mesoandino
229;3358;Yanama;Ancash;Yanama;-09° 01';-77° 28';404;4;Yungay;3000 - 4000;Mesoandino
230;3842;Unicachi;Puno;Unicachi;-16° 24';-69° 09';786;4;Yunguyo (4 Mesoandino);3000 - 4000;Mesoandino
231;3860;Anapia;Puno;Anapia;-16° 18';-69° 04';882;7;Yunguyo (7 Ceja de Montaña);2000 - 3000;Ceja de Montaña
232;3;Aguas Verdes;Tumbes;Aguas Verdes;-03° 26';-80° 19';135;8;Zarumilla;400 - 2000;Subtropical Húmedo
