N;ALTITUD;CIUDAD;DEPARTAMENTO;DISTRITO;LATITUD;LONGITUD;N_ESTACION;N_ZONA;PROVINCIA;RANGO;ZONA_CLIMÁTICA
149;4190;Llalli;Puno;Llalli;-14° 56';-70° 53';761;5;Melgar;4000 - 4800;Alto Andino
150;3890;Moho;Puno;Moho;-15° 23';-69° 29';787;5;Moho;4000 - 4800;Alto Andino
151;2230;Chalaco;Piura;Chalaco;-05° 02';-79° 47';235;3;Morropón (3 Interandino Bajo);2000 - 3000;Interandino Bajo
152;1480;Santo Domingo;Piura;Santo Domingo;-05° 01';-79° 52';208;8;Morropón (8  Subtropical Húmedo);400 - 2000;Subtropical Húmedo
153;860;Moyobamba;San Martín;Moyobamba;-06° 00';-76° 58';378;9;Moyobamba;400 - 1000;Tropical Húmedo
154;565;Vista Alegre;Ica;Vista Alegre;-14° 50';-74° 56';547;3;Nazca;2000 - 3000;Interandino Bajo
155;3311;Ocros;Ancash;Ocros;-10° 24';-77° 23';404;4;Ocros;3000 - 4000;Mesoandino
156;3433;Salpo;La Libertad;Salpo;-08° 00';-78° 36';374;4;Otuzco;3000 - 4000;Mesoandino
157;1825;Oxapampa;Pasco;Oxapampa;-10° 35';-75° 24';557;8;Oxapampa;400 - 2000;Subtropical Húmedo
158;3615;Oy ón;Lima;Oy ón;-10° 26';-76° 50';593;5;Oyón (5 Alto Andino);4000 - 4800;Alto Andino
159;17;Pacasmayo;La Libertad;Pacasmayo;-07° 24';-79° 34';325;1;Pacasmayo;0 - 2000;Desértico Costero
160;2424;Umari;Huánuco;Umari;-09° 51';-76° 02';404;4;Pachitea;3000 - 4000;Mesoandino
161;180;Curimana;Ucayali;Curimana;-08° 29';-75° 05';459;9;Padre Abad;400 - 1000;Tropical Húmedo
162;30;Paita;Piura;Paita;-05° 05';-81° 06';230;2;Paita;400 - 2000;Desértico 
163;3043;Pallasca;Ancash;Pallasca;-08° 14';-77° 59';404;4;Pallasca;3000 - 4000;Mesoandino
164;357;Rio Grande;Ica;Rio Grande;-14° 31';-75° 12';791;1;Palpa;0 - 2000;Desértico Costero
165;3178;Coracora;Ayacucho;Coracora;-15° 00';-73° 46';745;4;Parinacochas (4 Mesoandino);3000 - 4000;Mesoandino
166;3084;Paruro;Cusco;Paruro;-13° 46';-71° 51';686;4;Paruro;3000 - 4000;Mesoandino
167;4342;Cerro de Pasco;Pasco;Chaupimarca;-10° 40';-76° 15';593;5;Pasco;4000 - 4800;Alto Andino
168;3226;Challas;La Libertad;Santiago de Challas;-08° 26';-77° 19';374;4;Pataz;3000 - 4000;Mesoandino
169;2560;Pausa;Ayacucho;Pausa;-15° 17';-73° 21';745;4;Paucar del Sara Sara;3000 - 4000;Mesoandino
170;2911;Paucartambo;Cusco;Paucartambo;-13° 19';-71° 35';689;4;Paucartambo;3000 - 4000;Mesoandino
171;221;Picota;San Martín;Picota;-06° 55';-76° 19';378;9;Picota;400 - 1000;Tropical Húmedo
